County Name,Median House Price ($),Median Rent ($),Population with Bachelor's Degree,Total Population,Number of Employed People,People with Income Below Poverty,Total Labor Force,Median Household Income ($),State FIPS,County FIPS,Year
"Caddo Parish, Louisiana",126400,576,24337.0,257051,114880,53499.0,122742,40460,22,017,2011
"Calcasieu Parish, Louisiana",123400,569,17659.0,194092,82270,36338.0,91973,40253,22,019,2011
"East Baton Rouge Parish, Louisiana",165500,653,58943.0,441438,215969,86880.0,237931,46356,22,033,2011
"Iberia Parish, Louisiana",98900,482,3465.0,73400,31420,14713.0,34383,42488,22,045,2011
"Jefferson Parish, Louisiana",172000,715,46783.0,432640,209129,78614.0,227200,43332,22,051,2011
"Lafayette Parish, Louisiana",165400,631,26517.0,224390,110517,39224.0,120731,45172,22,055,2011
"Lafourche Parish, Louisiana",135500,543,5682.0,96666,42220,16732.0,44836,46697,22,057,2011
"Livingston Parish, Louisiana",154800,602,14308.0,130251,60163,16736.0,66694,55817,22,063,2011
"Orleans Parish, Louisiana",185400,753,43758.0,360740,157140,100709.0,177673,35041,22,071,2011
"Ouachita Parish, Louisiana",115400,504,14439.0,154919,66079,40274.0,72049,34421,22,073,2011
"Rapides Parish, Louisiana",115800,447,6686.0,132374,50207,31321.0,56325,35047,22,079,2011
"St. Landry Parish, Louisiana",94200,358,4474.0,83552,31922,21116.0,33984,34337,22,097,2011
"St. Tammany Parish, Louisiana",191500,750,29566.0,236785,104615,27205.0,113131,56536,22,103,2011
"Tangipahoa Parish, Louisiana",137200,567,9774.0,122571,52400,26717.0,59220,39391,22,105,2011
"Terrebonne Parish, Louisiana",135600,633,5622.0,111917,49432,21992.0,52557,43963,22,109,2011
"Androscoggin County, Maine",154600,609,9522.0,107398,50847,17110.0,57411,44689,23,001,2011
"Aroostook County, Maine",93800,409,5613.0,71482,30148,13105.0,33302,35148,23,003,2011
